objID,ra,dec,r,u,g,i,z,u_r,g_r,g_i,r_i,r_z,photoz,radmpc,vel
1237651754560389759,210.169442460593,2.87049244651925,21.73757,24.32154,24.76444,20.71908,20.88528,2.583969,3.026869,4.045355,1.018486,0.8522911,0.229171,1.26953560551731,60995.9611155371
1237651754560389862,210.207777628195,2.88451846706938,19.49404,22.72804,20.93543,19.15971,18.7429,3.233999,1.441389,1.775713,0.3343239,0.7511349,0.297684,0.726120207146991,76398.8031626961
1237651754560389878,210.211261954201,2.86770372673038,19.74955,22.91333,21.18826,19.24112,18.88909,3.16378,1.438715,1.947147,0.5084324,0.8604565,0.282183,0.688803685721491,73019.9590062938
1237651754560389892,210.213768128495,2.87939631245539,19.91975,22.46972,20.85118,19.51485,19.37456,2.549973,0.9314346,1.336332,0.4048977,0.5451889,0.218113,0.636242776856016,58394.1482973942
1237651754560389925,210.223738587484,2.81622292598388,20.50079,22.34011,21.40112,20.53907,20.29473,1.839312,0.9003258,0.862051,-0.03827477,0.2060642,0.282903,1.0126393460104,73178.2571268826
1237651754560389932,210.22624779425,2.8441039845071,19.42346,22.44218,20.81468,18.8728,18.52565,3.018719,1.391216,1.941877,0.5506611,0.8978176,0.273172,0.66992963476885,71027.6863787263
1237651754560389939,210.229687393369,2.84443590045988,19.23855,24.32191,20.75896,18.75644,18.33822,5.083355,1.520409,2.002522,0.4821129,0.9003315,0.286796,0.633898486782132,74031.8547743246
1237651754560389953,210.232836832727,2.86008175609117,21.24156,23.29416,21.99804,21.12018,20.73549,2.052593,0.7564793,0.8778648,0.1213856,0.5060692,0.30053,0.449360783641168,77012.574072973
1237651754560389958,210.231019256971,2.79561269700826,19.0346,22.74522,20.62841,18.48341,18.06805,3.710617,1.593807,2.144999,0.5511913,0.9665451,0.298896,1.23954788695451,76660.4583458016
1237651754560389960,210.232299438045,2.81806530138639,19.48445,24.15072,20.90104,18.93694,18.69994,4.666279,1.416592,1.964102,0.5475101,0.7845039,0.264177,0.935171512414146,69018.0841110851
